"UF";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Situação";"Votação";"% Válidos";
"AL";"Presidente";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"941.286";"62,12"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"574.012";"37,88"
"";"";"";"";"";"";"";"1.515.298";""
"BA";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"5.059.228";"70,16"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"2.151.922";"29,84"
"";"";"";"";"";"";"";"7.211.150";""
"CE";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"3.522.225";"76,75"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"1.067.096";"23,25"
"";"";"";"";"";"";"";"4.589.321";""
"MA";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"2.475.762";"78,76"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"667.517";"21,24"
"";"";"";"";"";"";"";"3.143.279";""
"PB";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"1.380.988";"64,26"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"767.916";"35,74"
"";"";"";"";"";"";"";"2.148.904";""
"PE";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"3.438.165";"70,20"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"1.459.266";"29,80"
"";"";"";"";"";"";"";"4.897.431";""
"PI";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"1.385.096";"78,30"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"383.884";"21,70"
"";"";"";"";"";"";"";"1.768.980";""
"RN";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"1.201.576";"69,96"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"516.011";"30,04"
"";"";"";"";"";"";"";"1.717.587";""
"SE";"";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"772.253";"67,01"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"380.222";"32,99"
"";"";"";"";"";"";"";"28.144.425";""
"";"";"";"";"";"";"";"1.152.475";""
"";"";"";"";"";"";"";"28.144.425";""
"";"";"";"";"";"";"";"28.144.425";""
